FA,Codigo,ORGAO ORCAMENTARIO,FONTE,EXERCICIO FINANCEIRO,Receita
AERONAUTICA,52211,Caixa de Financiamento Imobiliario da Aeronautica,LDO-2018,2018,10482139
EXERCITO,52221,Industria de Material Belico do Brasil IMBEL,LDO-2018,2018,93262739
EXERCITO,52222,Fundacao Osorio,LDO-2018,2018,878746
MARINHA,52232,Caixa de Construcoes de Casas para o Pessoal da Marinha - CCCPM,LDO-2018,2018,37373624
MARINHA,52233,Amazonia Azul Tecnologias de Defesa S.A. - AMAZUL,LDO-2018,2018,532319
DEFESA,52901,Fundo do Ministerio da Defesa,LDO-2018,2018,3023885
DEFESA,52902,Fundo de Administracao do Hospital das Forcas Armadas,LDO-2018,2018,8316665
DEFESA,52903,Fundo do Servico Militar,LDO-2018,2018,10691146
AERONAUTICA,52911,Fundo Aeronautico,LDO-2018,2018,3423265515
EXERCITO,52921,Fundo do Exercito,LDO-2018,2018,1606677671
MARINHA,52931,Fundo Naval,LDO-2018,2018,759027026
MARINHA,52932,Fundo de Desenvolvimento do Ensino Profissional Maritimo,LDO-2018,2018,247270515
DEFESA,52000,Ministerio da Defesa,LDO-2017,2017,11028506711
DEFESA,52101,Ministerio da Defesa - Administracao Direta,LDO-2017,2017,2497763650
AERONAUTICA,52111,Comando da Aeronautica,LDO-2017,2017,1567013470
EXERCITO,52121,Comando do Exercito,LDO-2017,2017,104906044
MARINHA,52131,Comando da Marinha,LDO-2017,2017,977842277
AERONAUTICA,52211,Caixa de Financiamento Imobiliario da Aeronautica,LDO-2017,2017,11357327
EXERCITO,52221,Industria de Material Belico do Brasil IMBEL,LDO-2017,2017,70792956
EXERCITO,52222,Fundacao Osorio,LDO-2017,2017,1013683
MARINHA,52232,Caixa de Construcoes de Casas para o Pessoal da Marinha - CCCPM,LDO-2017,2017,24174000
MARINHA,52233,Amazonia Azul Tecnologias de Defesa S.A. - AMAZUL,LDO-2017,2017,5480000
DEFESA,52901,Fundo do Ministerio da Defesa,LDO-2017,2017,3872024
DEFESA,52902,Fundo de Administracao do Hospital das Forcas Armadas,LDO-2017,2017,35222366
DEFESA,52903,Fundo do Servico Militar,LDO-2017,2017,11596620
AERONAUTICA,52911,Fundo Aeronautico,LDO-2017,2017,3224698847
EXERCITO,52921,Fundo do Exercito,LDO-2017,2017,1372179899
MARINHA,52931,Fundo Naval,LDO-2017,2017,871649465
