Codigo,EXERCICIO FINANCEIRO,1-Pessoal e Encargos Sociais,2-Juros e Encargos da Divida,3-Outras Despesas Correntes,4-Investimentos,5-Inversoes Financeiras,6-Amortizacao da Divida,7-Reserva de Regime Proprio da Previdencia Social RPPS,8-N/A,9-Reserva de Contingencia,Despesa,Despesa 2-9
52233,2018,274662731,0,31186943,360000,0,0,0,0,0,306209674,337756617
52101,2017,96538590,0,548138173,1023671729,60000000,0,0,0,0,1728348492,3360158394
52111,2017,16238523733,228123000,1317898696,2916225900,1000000,380800000,0,0,0,21082571329,25926618925
52121,2017,34712749959,0,4268010715,1827564710,0,0,0,0,0,40808325384,46903900809
52131,2017,18376971841,220763611,2169484747,2739687535,0,977865857,0,0,0,24484773591,30592575341
52211,2017,1581464,0,3556930,1464884,5000000,50000,0,0,912398,12565676,23549888
52221,2017,95927593,0,122081024,18600000,0,0,0,0,0,236608617,377289641
52222,2017,12851256,0,7712990,533000,0,0,0,0,0,21097246,29343236
52231,2017,0,0,0,0,0,0,0,0,0,0,0
52232,2017,2755753,4561000,9951754,0,2534630,7300000,0,0,0,27103137,51450521
52901,2017,0,0,3802833,69191,0,0,0,0,0,3872024,7744048
52902,2017,183134898,0,79493525,3834188,0,0,0,0,0,266462611,349790324
52903,2017,0,0,6782687,838660,0,0,0,0,3975273,11596620,23193240
52911,2017,0,0,2128274035,1075159458,5440034,0,0,0,19770428,3228643955,6457287910
52921,2017,0,0,1193174515,127935109,0,0,0,0,51070275,1372179899,2744359798
52931,2017,0,0,719623491,47350955,0,0,0,0,106065019,873039465,1746078930
52932,2017,0,0,86710000,1220000,0,0,0,0,161014083,248944083,497888166
52133,2017,0,0,11719588,131440046,0,0,0,0,0,143159634,286319268
52233,2017,252677666,0,34710357,324000,0,0,0,0,0,287712023,322746380
52101,2016,85604063,0,569335125,1105953889,117845655,0,0,0,0,1878738732,3671873401
52111,2016,14392918480,196841442,1279981048,2527251305,962038,502458627,0,0,0,18900412940,23407907400
52121,2016,30353506822,0,3403889771,1162596057,0,0,0,0,0,34919992650,39486478478
52131,2016,15880640924,315608990,1539028642,1614337526,0,1281114524,0,0,0,20630730606,25380820288
52211,2016,1359288,0,2289264,250000,4758705,50000,0,0,634959,9342216,17325144
52221,2016,80650057,0,118596569,10158339,0,0,0,0,29513723,238918688,397187319
52222,2016,12060713,0,6861308,125065,0,0,0,0,0,19047086,26033459
52231,2016,0,0,0,0,0,0,0,0,0,0,0
52232,2016,2491824,2215000,10281163,98000,8000000,8000000,0,0,3736504,34822491,67153158
52901,2016,0,0,3550132,50000,0,0,0,0,0,3600132,7200264
52902,2016,175177410,0,65821441,11832697,0,0,0,0,0,252831548,330485686
52903,2016,0,0,5681784,1450272,0,0,0,0,0,7132056,14264112
52911,2016,0,0,1498164537,1059144761,4850000,0,0,0,6806940,2568966238,5137932476
52921,2016,0,0,1052052085,51910673,0,0,0,0,106359246,1210322004,2420644008
52931,2016,0,0,623715447,56055226,0,0,0,0,52293095,732063768,1464127536
52932,2016,0,0,74552083,6861593,0,0,0,0,138369441,219783117,439566234
52133,2016,0,0,13175367,143562036,0,0,0,0,0,156737403,313474806
52233,2016,238108674,0,33353857,3465000,0,0,0,0,0,274927531,311746388
